TYPE,NAME,FB_URL,TW_HANDLE
,Arc Digital,,ArcDigi
,Ballotpediia,https://www.facebook.com/Ballotpedia,ballotpedia
,Big Think,https://www.facebook.com/BigThinkdotcom,bigthink
,Border Report,https://www.facebook.com/BorderReport,BorderReportcom
,Cspan,https://www.facebook.com/CSPAN,cspan
,Consumer Reports,https://www.facebook.com/ConsumerReports,ConsumerReports
,Doctors without Borders,https://www.facebook.com/msf.unitedkingdom,MSF_USA
,EdScoop News,https://www.facebook.com/sngedscoop,EdScoop_news
,Financial Times,https://www.facebook.com/financialtimes,FT
,Gallup News,https://www.facebook.com/gallup,GallupNews
,Lead Stories,https://www.facebook.com/LeadStoriesCom,LeadStoriesCom
,Military Times,https://www.facebook.com/MilitaryTimesOnline,MilitaryTimes
,Navy Times,https://www.facebook.com/navytimes,NavyTimes
,NewsGuard,https://www.facebook.com/newsguardtech,NewsGuardRating
,No Labels,https://www.facebook.com/NoLabels,NoLabelsOrg
,Reuters,https://www.facebook.com/Reuters,Reuters
,Adweek,https://www.facebook.com/Adweek,Adweek
,Ground News,https://www.facebook.com/ground.newsapp,Ground_app
,Tangle,https://www.facebook.com/TangleNews/,TangleNews
,Heather Cox Richardson,https://www.facebook.com/heathercoxrichardson/,HC_Richardson
,Humans of New York,https://www.facebook.com/humansofnewyork/,humansofny
